n,threads,sparsity,reps,nnz,time_init,time_csr_construct,time_spmv_total,time_dense_total,verification,user
4000,sequential,0,5,16000000,0.148252,0.057306,0.049295,0.033644,PASS,phoebus
4000,2,0,5,16000000,0.074035,0.030018,0.028693,0.017340,PASS,phoebus
4000,4,0,5,16000000,0.039852,0.018566,0.026328,0.012946,PASS,phoebus
4000,8,0,5,16000000,0.034627,0.019268,0.027322,0.016642,PASS,phoebus
4000,sequential,0,10,16000000,0.148495,0.056914,0.091388,0.069458,PASS,phoebus
4000,2,0,10,16000000,0.076458,0.030436,0.062529,0.036589,PASS,phoebus
4000,4,0,10,16000000,0.039700,0.017840,0.052315,0.026482,PASS,phoebus
4000,8,0,10,16000000,0.035620,0.019330,0.052731,0.031731,PASS,phoebus
4000,sequential,50,1,7999476,0.188833,0.083927,0.004774,0.006795,PASS,phoebus
4000,2,50,1,7999476,0.093577,0.041464,0.002775,0.003535,PASS,phoebus
4000,4,50,1,7999476,0.057782,0.023264,0.002453,0.002729,PASS,phoebus
4000,8,50,1,7999476,0.045065,0.023399,0.002794,0.003451,PASS,phoebus
4000,sequential,50,5,7999476,0.185860,0.083769,0.022761,0.033723,PASS,phoebus
4000,2,50,5,7999476,0.095412,0.042625,0.013761,0.017700,PASS,phoebus
4000,4,50,5,7999476,0.058223,0.022292,0.012251,0.014230,PASS,phoebus
4000,8,50,5,7999476,0.040773,0.024261,0.012898,0.014636,PASS,phoebus
4000,sequential,50,10,7999476,0.186606,0.082066,0.045617,0.068188,PASS,phoebus
4000,2,50,10,7999476,0.101386,0.043755,0.027694,0.034880,PASS,phoebus
4000,4,50,10,7999476,0.054373,0.027667,0.024221,0.030841,PASS,phoebus
4000,8,50,10,7999476,0.050099,0.021161,0.026315,0.028893,PASS,phoebus
4000,sequential,90,1,1601555,0.105863,0.032700,0.000914,0.006697,PASS,phoebus
4000,2,90,1,1601555,0.053675,0.016333,0.000561,0.003651,PASS,phoebus
